state,polling_place,premises,address,suburb,postcode,wheelchair_access
NSW,Beverly Hills North,Beverly Hills North Public School,Shorter Ave,BEVERLY HILLS,2209.0,N
NSW,East Hills,1st East Hills Scout Hall,Cnr Henry Lawson Dr & Maclaurin Ave,EAST HILLS,2213.0,N
NSW,Hannans Road,Hannans Road Public School,Hannans Rd,RIVERWOOD,2210.0,A
NSW,Lugarno,Lugarno Public School,Old Forest Rd,LUGARNO,2210.0,A
NSW,Milperra,Milperra Public School,Pozieres Ave,MILPERRA,2214.0,A
NSW,Mortdale Central,Mortdale Pensioners Welfare Club,76 Pitt St,MORTDALE,2223.0,A
NSW,Mortdale Heights,Girl Guides Hall,Beatty St,MORTDALE,2223.0,N
NSW,Mortdale West,Penshurst West Public School,Forest Rd,MORTDALE,2223.0,N
NSW,Narwee,Narwee High School,Chamberlain St,NARWEE,2209.0,N
NSW,Oatley,Oatley Public School,Neville St,OATLEY,2223.0,N
NSW,Oatley West,Oatley West Public School,Oatley Park Ave,OATLEY,2223.0,A
NSW,Padstow,Padstow Park Public School,Segers Ave,PADSTOW,2211.0,N
NSW,Padstow East,1st Padstow Scouts Hall,107 Arab Rd,PADSTOW,2211.0,N
NSW,Padstow North,Padstow TAFE,Raine Rd,PADSTOW,2211.0,A
NSW,Padstow South,Padstow Heights Public School,Chamberlain Rd,PADSTOW HEIGHTS,2211.0,N
NSW,Panania,Revesby Presbyterian Church,Corner Tower St & Eastern Ave,REVESBY,2212.0,A
NSW,Panania Central,2nd Panania Scouts Hall,Wilson St,PANANIA,2213.0,N
NSW,Panania North,Panania North Public School,Bransgrove Rd,PANANIA,2213.0,N
NSW,Panania South,Panania Public School,Lawler St,PANANIA,2213.0,N
NSW,Peakhurst,Peakhurst Scouts Hall,Cnr Pearce Ave & Peake Pde,PEAKHURST,2210.0,N
NSW,Peakhurst East,Peakhurst Public School,Bonds Rd,PEAKHURST,2210.0,N
NSW,Peakhurst South,Peakhurst South Public School,Pindari Rd,PEAKHURST,2210.0,N
NSW,Peakhurst West,Peakhurst West Public School,Ogilvy St,PEAKHURST,2210.0,N
NSW,Penshurst Central,Penshurst Girls High School,2 Austral St,PENSHURST,2222.0,N
NSW,Picnic Point North,Picnic Point High School,Kennedy St,PICNIC POINT,2213.0,N
NSW,Punchbowl,Punchbowl Public School,1333 Canterbury Rd,PUNCHBOWL,2196.0,N
NSW,Revesby,Y.M.C.A. Centre,184 The River Rd,REVESBY,2212.0,A
NSW,Revesby North,Revesby Public School,Victoria St,REVESBY,2212.0,A
NSW,Revesby South,Revesby South Public School,Mars St,REVESBY,2212.0,A
NSW,Riverwood North,Riverwood Public School,Union St,RIVERWOOD,2210.0,N
NSW,Riverwood South,St Andrews Church Hall,9 Littleton St,RIVERWOOD,2210.0,N
NSW,Sydney,Sydney Town Hall,George St,SYDNEY,2000.0,F
NSW,Allawah,St George Christian School,65 Woids Ave,ALLAWAH,2218.0,N
NSW,Allawah South,St Raphaels Church Hall,84 George St,SOUTH HURSTVILLE,2221.0,N
NSW,Arncliffe,St Andrews Presbyterian Church Hall,269 Forest Rd,BEXLEY,2207.0,N
NSW,Arncliffe East,St Francis Xavier's School,Cnr Forest Rd and Wardell St,ARNCLIFFE,2205.0,N
NSW,Athelstane,Athelstane Public School,Athelstane Ave,ARNCLIFFE,2205.0,A
NSW,Bald Face,Bald Face Public School,84 Stuart St,BLAKEHURST,2221.0,A
NSW,Banksia,Baptist Church Hall,316 Princes Hwy,BANKSIA,2216.0,N
NSW,Bell Park,Hurstville South Public School,Maher St,HURSTVILLE,2220.0,A
NSW,Bexley,Anglican Church Hall,Albyn St,BEXLEY,2207.0,N
NSW,Bexley Central,St Gabriels School,39 Highgate St,BEXLEY,2207.0,N
NSW,Bexley East,Bexley Public School,348 Forest Rd,BEXLEY,2207.0,A
NSW,Blakehurst,Blakehurst Uniting Church Hall,973 King Georges Rd,BLAKEHURST,2221.0,N
NSW,Bona Park,Sans Souci Guide Hall,Robert St,SANS SOUCI,2219.0,N
NSW,Brighton-Le-Sands,Brighton-Le-Sands Public School,35 Crawford Rd,BRIGHTON-LE-SANDS,2216.0,N
NSW,Brighton North,St Marks Anglican Church Hall,1 Trafalgar St,BRIGHTON-LE-SANDS,2216.0,N
NSW,Carlton,Carlton Scout Hall,Milsop St,BEXLEY,2207.0,A
NSW,Carlton North,Senior Citizens Centre,Taylor St,KOGARAH,2217.0,A
NSW,Carss Park,Blakehurst Public School,Dewrang St,CARSS PARK,2221.0,N
NSW,Clareville Park,Pre-School Kindergarten,95 Clareville Ave,SANDRINGHAM,2219.0,A
NSW,Connells Point,Connells Point Public School,Riverview Ave,CONNELLS POINT,2221.0,N
NSW,Hurstville Central,Woniora Road School,83 Woniora Rd,HURSTVILLE,2220.0,N
NSW,Hurstville Grove,St Aidans Church Hall,Cnr Hillcrest Ave and Lansdowne St,HURSTVILLE GROVE,2220.0,N
NSW,Hurstville South,Blakehurst High School,270a Woniora Rd,BLAKEHURST,2221.0,N
NSW,Jubilee,Carlton South Public School,Jubilee Ave,CARLTON,2218.0,N
NSW,Kogarah,Kogarah Presbyterian Church Hall,Cnr Kensington and Derby Sts,KOGARAH,2217.0,A
NSW,Kogarah Bay,Congregational Church Hall,Wyee St,KOGARAH BAY,2217.0,N
NSW,Kogarah Central,Kogarah High School,Gladstone St,KOGARAH,2217.0,N
NSW,Kyeemagh,Kyeemagh Public School,Beehag St,KYEEMAGH,2216.0,N
NSW,Monterey,St George Archers Hall,Burlington St,MONTEREY,2217.0,A
NSW,Moorefield,Moorefield Girls High School,Marshall St,KOGARAH,2217.0,N
