state,polling_place,premises,address,suburb,postcode,wheelchair_access,match_source,match_type,latitude,longitude,geometry,pp_2016_index
ACT,Waramanga,Arawang Primary School,Nemarang Cres,WARAMANGA,2611.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.355,149.06,POINT (149.06 -35.355),54
ACT,Weston,Weston Primary School,Hilder St,WESTON,2611.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3412,149.053,POINT (149.053 -35.3412),55
ACT,Yarralumla,Yarralumla Primary School,Loftus St,YARRALUMLA,2600.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3069,149.10299999999995,POINT (149.103 -35.3069),57
ACT,Ainslie,Ainslie Primary School,Elder St,BRADDON,2601.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2664,149.143,POINT (149.143 -35.2664),4
ACT,Ainslie North,North Ainslie Primary School,Sherbrooke St,AINSLIE,2602.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2543,149.14700000000005,POINT (149.147 -35.2543),58
ACT,Aranda,Aranda Primary School,Banambila St,ARANDA,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.256,149.08,POINT (149.08 -35.256),60
ACT,Baker Gardens,Ainslie Pre School,Baker Gardens,AINSLIE,2602.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.2664,149.143,POINT (149.143 -35.2664),4
ACT,Barton,Telopea Park School,New South Wales Cres,BARTON,2600.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3151,149.135,POINT (149.135 -35.3151),0
ACT,Belconnen,Lake Ginninderra College,Emu Bank,BELCONNEN,2617.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2391,149.07399999999996,POINT (149.074 -35.2391),61
ACT,Bruce,Calvary Hospital,Haydon Dr,BRUCE,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.253,149.088,POINT (149.088 -35.253),60
ACT,Campbell,Campbell Primary School,Chauvel St,CAMPBELL,2601.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2903,149.156,POINT (149.156 -35.2903),6
ACT,Charnwood,St Thomas Aquinas Primary School,Lhotsky St,CHARNWOOD,2615.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2051,149.03,POINT (149.03 -35.2051),66
ACT,City,Pilgrim House,69 Northbourne Ave,CANBERRA CITY,2601.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2766,149.129,POINT (149.129 -35.2766),9
ACT,Dickson,Daramalan College,Cowper St,DICKSON,2602.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2535,149.139,POINT (149.139 -35.2535),69
ACT,Downer,Downer Community Centre,Frencham Pl,DOWNER,2602.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2445,149.145,POINT (149.145 -35.2445),71
ACT,Evatt,Evatt Primary School,Heydon Cres,EVATT,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2071,149.076,POINT (149.076 -35.2071),72
ACT,Evatt South,Miles Franklin Primary School,Alderman St,EVATT,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2133,149.067,POINT (149.067 -35.2133),72
ACT,Florey,St Francis Xavier High School,Barnard Crct,FLOREY,2615.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.22400000000001,149.041,POINT (149.041 -35.22400000000001),73
ACT,Flynn,Flynn Primary School,Bingle St,FLYNN,2615.0,N,google geocode,GEOMETRIC_CENTER,-35.20546829999999,149.0450949,POINT (149.0450949 -35.20546829999999),87
ACT,Giralang,Giralang Primary School,Canopus Cres,GIRALANG,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2137,149.094,POINT (149.094 -35.2137),76
ACT,Griffith,O'Connell Centre,Stuart St,GRIFFITH,2603.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3222,149.145,POINT (149.145 -35.3222),23
ACT,Hall,Hall Primary School,Hoskins St,HALL,2618.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.1704,149.072,POINT (149.072 -35.1704),89
ACT,Higgins,Higgins Primary School,Fullagar Cres,HIGGINS,2615.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2328,149.024,POINT (149.024 -35.2328),80
ACT,Holt,Holt Primary School,Beaurepaire Cres,HOLT,2615.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2227,149.012,POINT (149.012 -35.2227),85
ACT,Jervis Bay,Jervis Bay Primary School,Dykes Ave,JERVIS BAY,2540.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.1294,150.705,POINT (150.705 -35.1294),987
ACT,Kaleen,Kaleen Primary School,Ashburton St,KALEEN,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2248,149.114,POINT (149.114 -35.2248),81
ACT,Kaleen South,Maribyrnong Primary School,Alberga St,KALEEN,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2351,149.102,POINT (149.102 -35.2351),82
ACT,Latham,Latham Primary School,O'Loghlen St,LATHAM,2615.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2202,149.034,POINT (149.034 -35.2202),83
ACT,Lyneham,Lyneham Primary School,Hall St,LYNEHAM,2602.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2515,149.125,POINT (149.125 -35.2515),84
ACT,Macgregor,Macgregor Primary School,Hirschfeld Cres,MACGREGOR,2615.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2131,149.012,POINT (149.012 -35.2131),85
ACT,Macquarie,Macquarie Primary School,Bennelong Cres,MACQUARIE,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2501,149.059,POINT (149.059 -35.2501),86
ACT,Melba,Mt Rogers Community School,Alfred Hill Dr,MELBA,2615.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2083,149.056,POINT (149.056 -35.2083),87
ACT,Narrabundah,Narrabundah Primary School,Kootara Cres,NARRABUNDAH,2604.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.329,149.151,POINT (149.151 -35.329),34
ACT,Ngunnawal,Ngunnawal Primary School,Unaipon Ave,NGUNNAWAL,2913.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.1692,149.112,POINT (149.112 -35.1692),88
ACT,Nicholls,Nicholls Primary School,Kelleway Ave,NICHOLLS,2913.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.1802,149.102,POINT (149.102 -35.1802),89
ACT,Page,St Matthew's School,Stutchbury St,PAGE,2614.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2398,149.042,POINT (149.042 -35.2398),91
