state,electorate,polling_place,polling_place_raw,yes_or_no,yes_n,yes_p,no_n,no_p,formal_n,formal_p,informal_n,informal_p,total_n,total_p
SA,Adelaide,Adelaide East,Adelaide East,Yes,465,0.67,229,0.33,694,0.9914000000000001,6,0.0086,700,0.0086
SA,Adelaide,Adelaide Hospital,Adelaide Hospital,Yes,187,0.6172,116,0.38280000000000003,303,0.9806,6,0.0194,309,0.0038
SA,Adelaide,Adelaide South,Adelaide South,Yes,1056,0.6467,577,0.3533,1633,0.9903,16,0.0097,1649,0.0202
SA,Adelaide,Adelaide West,Adelaide West,Yes,205,0.6487,111,0.3513,316,0.9875,4,0.0125,320,0.0039000000000000003
SA,Adelaide,Black Forest East,Black Forest East,Yes,1206,0.6009,801,0.39909999999999995,2007,0.9858,29,0.014199999999999999,2036,0.025
SA,Adelaide,Blair Athol North,Blair Athol North,No,628,0.4102,903,0.5898,1531,0.9922,12,0.0078000000000000005,1543,0.0189
SA,Adelaide,Broadview,Broadview,No,971,0.4793,1055,0.5207,2026,0.9945999999999999,11,0.0054,2037,0.025
SA,Adelaide,Brompton,Brompton,Yes,581,0.6109,370,0.38909999999999995,951,0.9895999999999999,10,0.0104,961,0.0118
SA,Adelaide,Clarence Park,Clarence Park,Yes,661,0.5669,505,0.43310000000000004,1166,0.9932,8,0.0068000000000000005,1174,0.0144
SA,Adelaide,College Park,College Park,Yes,765,0.6722,373,0.32780000000000004,1138,0.9939,7,0.0060999999999999995,1145,0.013999999999999999
SA,Adelaide,Croydon,Croydon (Adelaide),Yes,256,0.5482,211,0.4518,467,0.9894,5,0.0106,472,0.0058
SA,Adelaide,Croydon Park,Croydon Park,No,819,0.48810000000000003,859,0.5119,1678,0.9887999999999999,19,0.011200000000000002,1697,0.0208
SA,Adelaide,Croydon Park West,Croydon Park West (Adelaide),No,234,0.48350000000000004,250,0.5165,484,0.9918,4,0.008199999999999999,488,0.006
SA,Adelaide,Enfield,Enfield,No,554,0.4128,788,0.5871999999999999,1342,0.9832,23,0.0168,1365,0.0167
SA,Adelaide,Enfield North,Enfield North (Adelaide),No,548,0.4374,705,0.5626,1253,0.9890000000000001,14,0.011000000000000001,1267,0.0155
SA,Adelaide,Enfield South,Enfield South,No,470,0.46630000000000005,538,0.5337,1008,0.9882,12,0.0118,1020,0.0125
SA,Adelaide,Everard Park,Everard Park,Yes,396,0.5366,342,0.46340000000000003,738,0.9906,7,0.009399999999999999,745,0.0091
SA,Adelaide,Fullarton,Fullarton,Yes,1365,0.6003000000000001,909,0.3997,2274,0.993,16,0.006999999999999999,2290,0.0281
SA,Adelaide,Goodwood,Goodwood,Yes,1334,0.6707,655,0.3293,1989,0.9904999999999999,19,0.0095,2008,0.0246
SA,Adelaide,Goodwood Park,Goodwood Park,Yes,393,0.6847,181,0.3153,574,0.9863,8,0.0137,582,0.0070999999999999995
SA,Adelaide,Greenacres,Greenacres,No,609,0.43189999999999995,801,0.5681,1410,0.9909,13,0.0091,1423,0.0174
SA,Adelaide,Hampstead Gardens,Hampstead Gardens,No,422,0.4499,516,0.5501,938,0.9936,6,0.0064,944,0.0116
SA,Adelaide,Hindmarsh,Hindmarsh,Yes,81,0.6,54,0.4,135,0.9783,3,0.0217,138,0.0017000000000000001
SA,Adelaide,Hyde Park,Hyde Park,Yes,1038,0.6392,586,0.3608,1624,0.9945,9,0.0055000000000000005,1633,0.02
SA,Adelaide,Kent Town,Kent Town,Yes,249,0.6133,157,0.38670000000000004,406,0.9878,5,0.012199999999999999,411,0.005
SA,Adelaide,Keswick,Keswick,Yes,366,0.5367000000000001,316,0.4633,682,0.9942,4,0.0058,686,0.0084
SA,Adelaide,Kilburn,Kilburn,No,564,0.4335,737,0.5665,1301,0.9834,22,0.0166,1323,0.016200000000000003
SA,Adelaide,Kilburn South,Kilburn South,No,445,0.4415,563,0.5585,1008,0.9815,19,0.018500000000000003,1027,0.0126
SA,Adelaide,Lower North Adelaide,Lower North Adelaide,Yes,660,0.6659999999999999,331,0.33399999999999996,991,0.993,7,0.006999999999999999,998,0.012199999999999999
SA,Adelaide,Malvern,Malvern,Yes,940,0.6108,599,0.3892,1539,0.9994,1,0.0006,1540,0.0189
SA,Adelaide,Marden West,Marden West (Adelaide),Yes,179,0.6347999999999999,103,0.3652,282,0.986,4,0.013999999999999999,286,0.0034999999999999996
SA,Adelaide,Mile End,Mile End,Yes,1126,0.6573,587,0.3427,1713,0.985,26,0.015,1739,0.0213
SA,Adelaide,Myrtle Bank,Myrtle Bank,Yes,1060,0.578,774,0.42200000000000004,1834,0.9919,15,0.008100000000000001,1849,0.0227
SA,Adelaide,Nailsworth,Nailsworth,Yes,878,0.5842,625,0.4158,1503,0.9901000000000001,15,0.009899999999999999,1518,0.018600000000000002
SA,Adelaide,North Adelaide,North Adelaide,Yes,1560,0.6396000000000001,879,0.3604,2439,0.9931,17,0.0069,2456,0.0301
SA,Adelaide,Northfield,Northfield,No,369,0.3643,644,0.6357,1013,0.9883,12,0.011699999999999999,1025,0.0126
SA,Adelaide,Northfield South,Northfield South,No,604,0.39039999999999997,943,0.6096,1547,0.9854,23,0.0146,1570,0.019299999999999998
SA,Adelaide,Parkside East,Parkside East,Yes,1530,0.6701999999999999,753,0.3298,2283,0.9917,19,0.0083,2302,0.0282
SA,Adelaide,Prospect,Prospect,Yes,1241,0.6406999999999999,696,0.3593,1937,0.9928,14,0.0072,1951,0.0239
SA,Adelaide,Prospect Estate,Prospect Estate,Yes,448,0.5321,394,0.4679,842,0.9871,11,0.0129,853,0.0105
SA,Adelaide,Prospect North,Prospect North,Yes,952,0.5271,854,0.4729,1806,0.9906999999999999,17,0.009300000000000001,1823,0.022400000000000003
SA,Adelaide,Prospect South,Prospect South,Yes,767,0.6225999999999999,465,0.3774,1232,0.9934999999999999,8,0.006500000000000001,1240,0.0152
SA,Adelaide,Prospect West,Prospect West,Yes,1444,0.6075,933,0.3925,2377,0.9912000000000001,21,0.0088,2398,0.0294
SA,Adelaide,Renown Park,Renown Park,Yes,999,0.5291,889,0.47090000000000004,1888,0.9854,28,0.0146,1916,0.0235
SA,Adelaide,St Peters,St Peters,Yes,386,0.6098,247,0.39020000000000005,633,0.9953,3,0.004699999999999999,636,0.0078000000000000005
SA,Adelaide,St Peters East,St Peters East,Yes,1116,0.6305,654,0.36950000000000005,1770,0.991,16,0.009000000000000001,1786,0.0219
SA,Adelaide,Unley,Unley,Yes,2050,0.6836,949,0.3164,2999,0.995,15,0.005,3014,0.037000000000000005
SA,Adelaide,Walkerville,Walkerville,Yes,1329,0.5772999999999999,973,0.4227,2302,0.9944,13,0.005600000000000001,2315,0.028399999999999998
SA,Adelaide,Walkerville North,Walkerville North,Yes,527,0.5323,463,0.4677,990,0.997,3,0.003,993,0.012199999999999999
SA,Adelaide,Wayville,Wayville,Yes,402,0.7028,170,0.29719999999999996,572,0.9828,10,0.0172,582,0.0070999999999999995
SA,Adelaide,Special Hospitals,Special Hospitals,No,259,0.3091,579,0.6909000000000001,838,0.9813,16,0.0187,854,0.0105
SA,Adelaide,Total Ordinary,Total Ordinary,Yes,37976,0.568,28889,0.43200000000000005,66865,0.9906,637,0.009399999999999999,67502,0.8277
SA,Adelaide,ABSENT,ABSENT,Yes,3935,0.5761,2895,0.4239,6830,0.9923000000000001,53,0.0077,6883,0.08439999999999999
SA,Adelaide,POSTAL,POSTAL,No,1127,0.3815,1827,0.6185,2954,0.9956,13,0.0044,2967,0.0364
SA,Adelaide,PRE_POLL,PRE_POLL,Yes,2251,0.6225,1365,0.3775,3616,0.9961,14,0.0039000000000000003,3630,0.044500000000000005
SA,Adelaide,PROVISIONAL,PROVISIONAL,Yes,291,0.5132,276,0.4868,567,0.9895,6,0.0105,573,0.006999999999999999
SA,Adelaide,Division Summary,Division Summary,Yes,45580,0.5639,35252,0.4361,80832,0.9911,723,0.0089,81555,0.9453
VIC,Aston,Bayswater South,Bayswater South,No,623,0.46049999999999996,730,0.5395,1353,0.9926999999999999,10,0.0073,1363,0.0161
VIC,Aston,Bayswater West,Bayswater West,No,907,0.4581,1073,0.5418999999999999,1980,0.993,14,0.006999999999999999,1994,0.0236
VIC,Aston,Blackwood Park,Blackwood Park,No,707,0.48729999999999996,744,0.5127,1451,0.9891,16,0.0109,1467,0.0173
VIC,Aston,Charlesworth Park,Charlesworth Park,Yes,2047,0.6065,1328,0.3935,3375,0.9924,26,0.0076,3401,0.04019999999999999
VIC,Aston,Eastmont,Eastmont,Yes,875,0.5660000000000001,671,0.434,1546,0.9948999999999999,8,0.0051,1554,0.0184
VIC,Aston,Flamingo,Flamingo,Yes,1153,0.5616,900,0.4384,2053,0.9947,11,0.0053,2064,0.024399999999999998
VIC,Aston,Heany Park,Heany Park,Yes,1748,0.561,1368,0.439,3116,0.9926999999999999,23,0.0073,3139,0.0371
VIC,Aston,Heathmont East,Heathmont East,Yes,643,0.5177,599,0.48229999999999995,1242,0.992,10,0.008,1252,0.0148
VIC,Aston,Heathmont High,Heathmont High,Yes,861,0.5378000000000001,740,0.4622,1601,0.9937999999999999,10,0.0062,1611,0.019
VIC,Aston,Karoo,Karoo,Yes,979,0.5134000000000001,928,0.4866,1907,0.9881,23,0.011899999999999999,1930,0.022799999999999997
VIC,Aston,Knoxfield,Knoxfield,No,1823,0.46619999999999995,2087,0.5338,3910,0.9894,42,0.0106,3952,0.0467
VIC,Aston,Knoxfield North,Knoxfield North,No,668,0.47950000000000004,725,0.5205,1393,0.9929000000000001,10,0.0070999999999999995,1403,0.0166
VIC,Aston,Knox Gardens,Knox Gardens,Yes,1679,0.5552,1345,0.4448,3024,0.9892,33,0.0108,3057,0.0361
VIC,Aston,Lysterfield,Lysterfield,Yes,743,0.54,633,0.46,1376,0.9884999999999999,16,0.0115,1392,0.0165
VIC,Aston,Melbourne,Melbourne (Aston),Yes,52,0.6667000000000001,26,0.3333,78,0.975,2,0.025,80,0.0009
VIC,Aston,Morack,Morack,Yes,1481,0.5842,1054,0.4158,2535,0.9922,20,0.0078000000000000005,2555,0.0302
VIC,Aston,Mountain Gate,Mountain Gate,No,1727,0.46509999999999996,1986,0.5349,3713,0.9901000000000001,37,0.009899999999999999,3750,0.0443
VIC,Aston,Parkmore,Parkmore,Yes,1365,0.5088,1318,0.49119999999999997,2683,0.9897,28,0.0103,2711,0.0321
VIC,Aston,Park Ridge,Park Ridge,Yes,1098,0.5309,970,0.46909999999999996,2068,0.9909,19,0.0091,2087,0.024700000000000003
VIC,Aston,Rowville,Rowville,Yes,2285,0.5307999999999999,2020,0.4692,4305,0.9878,53,0.012199999999999999,4358,0.051500000000000004
VIC,Aston,Rowville East,Rowville East,Yes,1781,0.5263,1603,0.47369999999999995,3384,0.9909,31,0.0091,3415,0.0404
VIC,Aston,Scoresby,Scoresby,Yes,1430,0.5065999999999999,1393,0.49340000000000006,2823,0.9902,28,0.0098,2851,0.0337
VIC,Aston,Scoresby East,Scoresby East,Yes,238,0.5053,233,0.4947,471,0.9915999999999999,4,0.0084,475,0.005600000000000001
VIC,Aston,Studfield East,Studfield East,No,1385,0.45539999999999997,1656,0.5446,3041,0.9893000000000001,33,0.010700000000000001,3074,0.0363
VIC,Aston,Templeton,Templeton,Yes,1040,0.5439,872,0.4561,1912,0.9886,22,0.011399999999999999,1934,0.0229
VIC,Aston,Vermont,Vermont,Yes,323,0.6093999999999999,207,0.3906,530,0.9906999999999999,5,0.009300000000000001,535,0.0063
VIC,Aston,Wantirna,Wantirna,Yes,1044,0.5538000000000001,841,0.4462,1885,0.99,19,0.01,1904,0.0225
VIC,Aston,Wantirna Heights,Wantirna Heights,No,586,0.4768,643,0.5232,1229,0.9903,12,0.0097,1241,0.0147
VIC,Aston,Wantirna High,Wantirna High,Yes,1601,0.5244,1452,0.4756,3053,0.9945,17,0.0055000000000000005,3070,0.0363
VIC,Aston,Wantirna South,Wantirna South,Yes,1340,0.529,1193,0.47100000000000003,2533,0.9906,24,0.009399999999999999,2557,0.0302
VIC,Aston,Weeden Heights,Weeden Heights,Yes,1567,0.6194,963,0.38060000000000005,2530,0.9867,34,0.013300000000000001,2564,0.030299999999999997
VIC,Aston,Special Hospitals,Special Hospitals,No,133,0.41960000000000003,184,0.5804,317,0.9906,3,0.009399999999999999,320,0.0038
VIC,Aston,Total Ordinary,Total Ordinary,Yes,37183,0.5234000000000001,33856,0.47659999999999997,71039,0.9906,671,0.009399999999999999,71710,0.848
VIC,Aston,ABSENT,ABSENT,Yes,3312,0.5017,3289,0.49829999999999997,6601,0.9922,52,0.0078000000000000005,6653,0.0787
VIC,Aston,POSTAL,POSTAL,No,893,0.373,1501,0.627,2394,0.9975,6,0.0025,2400,0.028399999999999998
VIC,Aston,PRE_POLL,PRE_POLL,No,1666,0.47590000000000005,1835,0.5241,3501,0.9969,11,0.0031,3512,0.0415
VIC,Aston,PROVISIONAL,PROVISIONAL,Yes,156,0.5436,131,0.45640000000000003,287,0.9829000000000001,5,0.0171,292,0.0034999999999999996
VIC,Aston,Division Summary,Division Summary,Yes,43210,0.5155,40612,0.48450000000000004,83822,0.9912000000000001,745,0.0088,84567,0.9626
VIC,Ballarat,Alfredton West,Alfredton West,No,995,0.4515,1209,0.5485,2204,0.995,11,0.005,2215,0.0274
VIC,Ballarat,Amphitheatre,Amphitheatre,No,48,0.2609,136,0.7391,184,0.9945999999999999,1,0.0054,185,0.0023
VIC,Ballarat,Ascot,Ascot,No,41,0.27149999999999996,110,0.7284999999999999,151,0.9934000000000001,1,0.0066,152,0.0019
VIC,Ballarat,Avoca,Avoca,No,247,0.2804,634,0.7195999999999999,881,0.9965999999999999,3,0.0034000000000000002,884,0.0109
VIC,Ballarat,Ballan,Ballan,No,653,0.4031,967,0.5969,1620,0.9878,20,0.012199999999999999,1640,0.0203
VIC,Ballarat,Ballarat,Ballarat,No,731,0.4919,755,0.5081,1486,0.9893000000000001,16,0.010700000000000001,1502,0.018600000000000002
VIC,Ballarat,Ballarat City,Ballarat City,No,265,0.49810000000000004,267,0.5019,532,0.9981,1,0.0019,533,0.0066
VIC,Ballarat,Ballarat North,Ballarat North,No,1169,0.4239,1589,0.5761,2758,0.9889,31,0.0111,2789,0.0345
VIC,Ballarat,Ballarat North West,Ballarat North West,Yes,766,0.5764,563,0.4236,1329,0.9963,5,0.0037,1334,0.0165
VIC,Ballarat,Ballarat South,Ballarat South,No,605,0.4279,809,0.5721,1414,0.9887999999999999,16,0.011200000000000002,1430,0.0177
VIC,Ballarat,Ballarat South West,Ballarat South West,No,1093,0.4543,1313,0.5457,2406,0.9937999999999999,15,0.0062,2421,0.03
VIC,Ballarat,Black Hill,Black Hill,No,1226,0.48310000000000003,1312,0.5169,2538,0.9941,15,0.0059,2553,0.0316
VIC,Ballarat,Blackwood,Blackwood,No,128,0.4706,144,0.5294,272,0.9854999999999999,4,0.014499999999999999,276,0.0034000000000000002
VIC,Ballarat,Brown Hill,Brown Hill,No,738,0.4111,1057,0.5889,1795,0.9917,15,0.0083,1810,0.022400000000000003
VIC,Ballarat,Bungaree,Bungaree,No,140,0.3825,226,0.6175,366,0.9973000000000001,1,0.0027,367,0.0045000000000000005
VIC,Ballarat,Buninyong,Buninyong,Yes,1177,0.5002,1176,0.49979999999999997,2353,0.9924,18,0.0076,2371,0.0294
VIC,Ballarat,Burrumbeet,Burrumbeet,No,65,0.35710000000000003,117,0.6429,182,1.0,0,0.0,182,0.0023
VIC,Ballarat,Canadian,Canadian,No,825,0.4125,1175,0.5875,2000,0.9911,18,0.0089,2018,0.025
VIC,Ballarat,Clarkes Hill,Clarkes Hill,No,68,0.4,102,0.6,170,1.0,0,0.0,170,0.0021
VIC,Ballarat,Clunes,Clunes,No,362,0.3481,678,0.6518999999999999,1040,0.9933,7,0.0067,1047,0.013000000000000001
VIC,Ballarat,Concongella,Concongella,No,67,0.2757,176,0.7243,243,0.9959,1,0.0040999999999999995,244,0.003
VIC,Ballarat,Creswick,Creswick,No,776,0.42450000000000004,1052,0.5755,1828,0.9951000000000001,9,0.0049,1837,0.0227
VIC,Ballarat,Creswick North,Creswick North,No,104,0.35369999999999996,190,0.6463,294,0.9965999999999999,1,0.0034000000000000002,295,0.0037
VIC,Ballarat,Daylesford,Daylesford,No,1008,0.46340000000000003,1167,0.5366,2175,0.9909,20,0.0091,2195,0.027200000000000002
VIC,Ballarat,Delacombe,Delacombe,No,672,0.3937,1035,0.6063000000000001,1707,0.9878,21,0.012199999999999999,1728,0.021400000000000002
VIC,Ballarat,Drummond,Drummond,No,92,0.4868,97,0.5132,189,0.9843999999999999,3,0.015600000000000001,192,0.0024
VIC,Ballarat,Elaine,Elaine,No,89,0.31670000000000004,192,0.6833,281,0.986,4,0.013999999999999999,285,0.0034999999999999996
VIC,Ballarat,Glenlyon,Glenlyon,Yes,162,0.5176,151,0.4824,313,0.9812000000000001,6,0.018799999999999997,319,0.0039000000000000003
VIC,Ballarat,Glenorchy,Glenorchy,No,47,0.2956,112,0.7044,159,0.9937,1,0.0063,160,0.002
VIC,Ballarat,Gordon,Gordon,No,228,0.4302,302,0.5698,530,1.0,0,0.0,530,0.0066
VIC,Ballarat,Great Western,Great Western,No,103,0.3249,214,0.6751,317,0.9906,3,0.009399999999999999,320,0.004
VIC,Ballarat,Haddon,Haddon,No,397,0.377,656,0.623,1053,0.9897,11,0.0103,1064,0.0132
VIC,Ballarat,Halls Gap,Halls Gap,No,110,0.42469999999999997,149,0.5753,259,0.9962000000000001,1,0.0038,260,0.0032
VIC,Ballarat,Hepburn Springs,Hepburn Springs,Yes,293,0.5096,282,0.4904,575,0.988,7,0.012,582,0.0072
VIC,Ballarat,Landsborough,Landsborough,No,46,0.2541,135,0.7459,181,0.9945,1,0.0055000000000000005,182,0.0023
VIC,Ballarat,Learmonth,Learmonth,No,152,0.38380000000000003,244,0.6162,396,0.995,2,0.005,398,0.0049
VIC,Ballarat,Lexton,Lexton,No,62,0.3054,141,0.6945999999999999,203,0.9854,3,0.0146,206,0.0026
VIC,Ballarat,Little Bendigo,Little Bendigo,No,37,0.4302,49,0.5698,86,0.9773000000000001,2,0.0227,88,0.0011
VIC,Ballarat,Magpie,Magpie,No,92,0.45539999999999997,110,0.5446,202,0.9902,2,0.0098,204,0.0025
VIC,Ballarat,Marnoo,Marnoo,No,24,0.1558,130,0.8442000000000001,154,0.9934999999999999,1,0.006500000000000001,155,0.0019
VIC,Ballarat,Melbourne,Melbourne (Ballarat),Yes,28,0.6087,18,0.39130000000000004,46,0.9787,1,0.0213,47,0.0006
VIC,Ballarat,Miners Rest,Miners Rest,No,248,0.3347,493,0.6653,741,0.9987,1,0.0013,742,0.0092
VIC,Ballarat,Moonambel,Moonambel,No,56,0.30269999999999997,129,0.6973,185,0.9945999999999999,1,0.0054,186,0.0023
VIC,Ballarat,Mount Clear,Mount Clear,No,1081,0.46020000000000005,1268,0.5398,2349,0.9948999999999999,12,0.0051,2361,0.0292
VIC,Ballarat,Mount Egerton,Mount Egerton,No,104,0.4228,142,0.5771999999999999,246,1.0,0,0.0,246,0.003
VIC,Ballarat,Mount Pleasant,Mount Pleasant,No,781,0.3979,1182,0.6021,1963,0.9894,21,0.0106,1984,0.0246
VIC,Ballarat,Mount Wallace,Mount Wallace,No,53,0.38689999999999997,84,0.6131,137,1.0,0,0.0,137,0.0017000000000000001
VIC,Ballarat,Napoleons,Napoleons,No,205,0.3942,315,0.6058,520,0.9886,6,0.011399999999999999,526,0.006500000000000001
VIC,Ballarat,Natte Yallock,Natte Yallock,No,14,0.1918,59,0.8081999999999999,73,1.0,0,0.0,73,0.0009
VIC,Ballarat,Navarre,Navarre,No,22,0.2651,61,0.7349,83,0.9881,1,0.011899999999999999,84,0.001
VIC,Ballarat,Newington,Newington,No,109,0.3978,165,0.6022,274,0.9928,2,0.0072,276,0.0034000000000000002
VIC,Ballarat,Newlyn,Newlyn,No,171,0.3826,276,0.6174000000000001,447,0.9911,4,0.0089,451,0.005600000000000001
VIC,Ballarat,Redan,Redan,No,759,0.40159999999999996,1131,0.5984,1890,0.9911,17,0.0089,1907,0.0236
VIC,Ballarat,Redan North,Redan North,No,385,0.4843,410,0.5157,795,0.995,4,0.005,799,0.009899999999999999
VIC,Ballarat,Ross Creek,Ross Creek,No,273,0.4239,371,0.5761,644,0.9908,6,0.0092,650,0.008
VIC,Ballarat,Sebastopol,Sebastopol,No,1011,0.32789999999999997,2072,0.6720999999999999,3083,0.9891,34,0.0109,3117,0.038599999999999995
VIC,Ballarat,Smeaton,Smeaton,No,92,0.358,165,0.642,257,1.0,0,0.0,257,0.0032
VIC,Ballarat,Soldiers Hill,Soldiers Hill,No,475,0.49219999999999997,490,0.5078,965,0.9937999999999999,6,0.0062,971,0.012
VIC,Ballarat,Springbank,Springbank,No,68,0.3333,136,0.6667000000000001,204,0.9903,2,0.0097,206,0.0026
VIC,Ballarat,Stawell,Stawell,No,619,0.2913,1506,0.7087,2125,0.9944,12,0.005600000000000001,2137,0.0265
VIC,Ballarat,Stawell District Hospital,Stawell District Hospital,No,39,0.2826,99,0.7173999999999999,138,1.0,0,0.0,138,0.0017000000000000001
VIC,Ballarat,Stawell West,Stawell West,No,510,0.2827,1294,0.7173,1804,0.9901000000000001,18,0.009899999999999999,1822,0.0226
VIC,Ballarat,Talbot,Talbot,No,186,0.33880000000000005,363,0.6612,549,0.9928,4,0.0072,553,0.0068000000000000005
VIC,Ballarat,The Stockade,The Stockade,No,809,0.45890000000000003,954,0.5411,1763,0.9893000000000001,19,0.010700000000000001,1782,0.022099999999999998
VIC,Ballarat,Warrenheip,Warrenheip,No,287,0.397,436,0.603,723,0.9891,8,0.0109,731,0.0091
VIC,Ballarat,Waubra,Waubra,No,98,0.37689999999999996,162,0.6231,260,0.9924,2,0.0076,262,0.0032
VIC,Ballarat,Wendouree,Wendouree,No,902,0.41700000000000004,1261,0.583,2163,0.9908,20,0.0092,2183,0.027000000000000003
VIC,Ballarat,Wendouree East,Wendouree East,No,582,0.3829,938,0.6171,1520,0.987,20,0.013000000000000001,1540,0.0191
VIC,Ballarat,Wendouree North,Wendouree North,No,1112,0.386,1769,0.614,2881,0.9887,33,0.0113,2914,0.0361
VIC,Ballarat,Wendouree West,Wendouree West,No,437,0.3403,847,0.6597,1284,0.9876999999999999,16,0.0123,1300,0.0161
VIC,Ballarat,Yandoit,Yandoit,No,59,0.3986,89,0.6014,148,0.9933,1,0.0067,149,0.0018
VIC,Ballarat,Special Hospitals,Special Hospitals,No,248,0.33740000000000003,487,0.6626000000000001,735,0.9906,7,0.009399999999999999,742,0.0092
VIC,Ballarat,Total Ordinary,Total Ordinary,No,27890,0.40880000000000005,40339,0.5912,68229,0.9915999999999999,580,0.0084,68809,0.8519
VIC,Ballarat,ABSENT,ABSENT,No,2191,0.4893,2287,0.5107,4478,0.9936,29,0.0064,4507,0.0558
VIC,Ballarat,POSTAL,POSTAL,No,789,0.289,1941,0.711,2730,0.9967,9,0.0033,2739,0.0339
VIC,Ballarat,PRE_POLL,PRE_POLL,No,1808,0.4065,2640,0.5935,4448,0.9953,21,0.004699999999999999,4469,0.0553
VIC,Ballarat,PROVISIONAL,PROVISIONAL,No,106,0.43439999999999995,138,0.5656,244,0.9879000000000001,3,0.0121,247,0.0031
VIC,Ballarat,Division Summary,Division Summary,No,32784,0.40909999999999996,47345,0.5909,80129,0.9921,642,0.0079,80771,0.9632999999999999
NSW,Banks,East Hills,East Hills,No,559,0.4216,767,0.5784,1326,0.9925,10,0.0075,1336,0.0174
NSW,Banks,Hannans Road,Hannans Road,No,1267,0.4729,1412,0.5271,2679,0.9886,31,0.011399999999999999,2710,0.0354
NSW,Banks,Lugarno,Lugarno,No,1449,0.46520000000000006,1666,0.5347999999999999,3115,0.993,22,0.006999999999999999,3137,0.040999999999999995
NSW,Banks,Milperra,Milperra,No,1042,0.396,1589,0.604,2631,0.9936,17,0.0064,2648,0.0346
NSW,Banks,Mortdale Central,Mortdale Central,No,1083,0.4794,1176,0.5206000000000001,2259,0.9895,24,0.0105,2283,0.0298
NSW,Banks,Mortdale Heights,Mortdale Heights,No,487,0.4669,556,0.5331,1043,0.9924,8,0.0076,1051,0.0137
NSW,Banks,Mortdale West,Mortdale West,No,993,0.4916,1027,0.5084000000000001,2020,0.9917,17,0.0083,2037,0.026600000000000002
NSW,Banks,Narwee,Narwee,Yes,1324,0.505,1298,0.495,2622,0.9876,33,0.0124,2655,0.0347
NSW,Banks,Oatley,Oatley (Banks),Yes,326,0.5175,304,0.4825,630,0.9937,4,0.0063,634,0.0083
NSW,Banks,Oatley West,Oatley West,Yes,1226,0.5158,1151,0.4842,2377,0.995,12,0.005,2389,0.031200000000000002
NSW,Banks,Padstow,Padstow,No,1768,0.4664,2023,0.5336,3791,0.9867,51,0.013300000000000001,3842,0.050199999999999995
NSW,Banks,Padstow East,Padstow East,No,698,0.4559,833,0.5440999999999999,1531,0.9871,20,0.0129,1551,0.0203
NSW,Banks,Padstow North,Padstow North,No,216,0.41700000000000004,302,0.583,518,0.9923000000000001,4,0.0077,522,0.0068000000000000005
NSW,Banks,Padstow South,Padstow South,No,1224,0.4448,1528,0.5552,2752,0.9889,31,0.0111,2783,0.0363
NSW,Banks,Panania,Panania,No,486,0.4263,654,0.5737,1140,0.9895999999999999,12,0.0104,1152,0.015
NSW,Banks,Panania Central,Panania Central,No,646,0.3951,989,0.6049,1635,0.9861,23,0.0139,1658,0.0216
NSW,Banks,Panania North,Panania North,No,911,0.451,1109,0.5489999999999999,2020,0.9926,15,0.0074,2035,0.026600000000000002
NSW,Banks,Panania South,Panania South,No,1384,0.4274,1854,0.5726,3238,0.9904999999999999,31,0.0095,3269,0.042699999999999995
NSW,Banks,Peakhurst,Peakhurst,No,203,0.4265,273,0.5735,476,0.9854999999999999,7,0.014499999999999999,483,0.0063
NSW,Banks,Peakhurst East,Peakhurst East,No,802,0.47909999999999997,872,0.5209,1674,0.9894,18,0.0106,1692,0.022099999999999998
NSW,Banks,Peakhurst South,Peakhurst South,No,800,0.4372,1030,0.5628,1830,0.9929000000000001,13,0.0070999999999999995,1843,0.0241
NSW,Banks,Peakhurst West,Peakhurst West,No,1244,0.46020000000000005,1459,0.5398,2703,0.9926999999999999,20,0.0073,2723,0.0356
NSW,Banks,Penshurst Central,Penshurst Central,Yes,1110,0.5375,955,0.4625,2065,0.9899,21,0.0101,2086,0.027200000000000002
NSW,Banks,Picnic Point North,Picnic Point North,No,922,0.44409999999999994,1154,0.5559000000000001,2076,0.9952,10,0.0048,2086,0.027200000000000002
NSW,Banks,Punchbowl,Punchbowl (Banks),No,1075,0.4827,1152,0.5173,2227,0.9802,45,0.019799999999999998,2272,0.0297
NSW,Banks,Revesby,Revesby,No,823,0.46,966,0.54,1789,0.9868000000000001,24,0.0132,1813,0.023700000000000002
NSW,Banks,Revesby North,Revesby North,No,1412,0.4548,1693,0.5452,3105,0.9845,49,0.0155,3154,0.0412
NSW,Banks,Revesby South,Revesby South,No,1061,0.4439,1329,0.5561,2390,0.9917,20,0.0083,2410,0.0315
NSW,Banks,Riverwood North,Riverwood North,No,686,0.45640000000000003,817,0.5436,1503,0.9804,30,0.0196,1533,0.02
NSW,Banks,Riverwood South,Riverwood South,No,745,0.47759999999999997,815,0.5224,1560,0.9943000000000001,9,0.005699999999999999,1569,0.020499999999999997
NSW,Banks,Sydney,Sydney (Banks),Yes,82,0.6890999999999999,37,0.3109,119,0.9917,1,0.0083,120,0.0016
NSW,Banks,Special Hospitals,Special Hospitals,No,29,0.18710000000000002,126,0.8129000000000001,155,0.9873000000000001,2,0.0127,157,0.002
NSW,Banks,Total Ordinary,Total Ordinary,No,29468,0.4623,34268,0.5377000000000001,63736,0.9898,657,0.0102,64393,0.8406999999999999
