state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
ACT,Wreck Bay,48,20,68,0,68,0.7059,0.2941,1.0,0.0
ACT,Yarralumla,1209,502,1711,5,1716,0.7066,0.2934,0.9971,0.0029
NSW,Aberdare West,454,682,1136,12,1148,0.3996,0.6004,0.9895,0.0105
NSW,Aberdeen,397,805,1202,16,1218,0.3303,0.6697,0.9869,0.0131
NSW,Abermain,495,782,1277,10,1287,0.3876,0.6124,0.9922,0.0078
NSW,Adamstown Heights,1406,1167,2573,24,2597,0.5464,0.4536,0.9908,0.0092
NSW,Adamstown North,574,653,1227,13,1240,0.4678,0.5322,0.9895,0.0105
NSW,Adamstown West,226,193,419,3,422,0.5394,0.4606,0.9929,0.0071
NSW,Adjungbilly,25,46,71,0,71,0.3521,0.6479,1.0,0.0
NSW,Airds North,235,507,742,12,754,0.3167,0.6833,0.9841,0.0159
NSW,Albion Park Rail,1578,2222,3800,30,3830,0.4153,0.5847,0.9922,0.0078
NSW,Albion Park South,1287,1541,2828,25,2853,0.4551,0.5449,0.9912,0.0088
NSW,Albury East,358,594,952,11,963,0.3761,0.6239,0.9886,0.0114
NSW,Albury High School,1084,1150,2234,15,2249,0.4852,0.5148,0.9933,0.0067
NSW,Albury Mercy Hospital,41,76,117,0,117,0.3504,0.6496,1.0,0.0
NSW,Albury North,641,1119,1760,15,1775,0.3642,0.6358,0.9915,0.0085
NSW,Albury North Central,507,1023,1530,11,1541,0.3314,0.6686,0.9929,0.0071
NSW,Albury South,640,859,1499,11,1510,0.427,0.573,0.9927,0.0073
NSW,Albury West,799,1012,1811,21,1832,0.4412,0.5588,0.9885,0.0115
NSW,Alectown,35,109,144,2,146,0.2431,0.7569,0.9863,0.0137
NSW,Allambie Heights,1619,1658,3277,31,3308,0.494,0.506,0.9906,0.0094
NSW,Allandale Hospital,54,80,134,1,135,0.403,0.597,0.9926,0.0074
NSW,Allawah South,589,501,1090,16,1106,0.5404,0.4596,0.9855,0.0145
NSW,Alma,811,1133,1944,31,1975,0.4172,0.5828,0.9843,0.0157
NSW,Ambarvale,1562,2052,3614,36,3650,0.4322,0.5678,0.9901,0.0099
NSW,Ambarvale West,882,1054,1936,20,1956,0.4556,0.5444,0.9898,0.0102
NSW,Annandale North,1938,641,2579,32,2611,0.7515,0.2485,0.9877,0.0123
NSW,Annangrove,416,614,1030,8,1038,0.4039,0.5961,0.9923,0.0077
NSW,Appin,362,598,960,6,966,0.3771,0.6229,0.9938,0.0062
NSW,Araluen,35,47,82,1,83,0.4268,0.5732,0.988,0.012
NSW,Arcadia Vale,376,463,839,11,850,0.4482,0.5518,0.9871,0.0129
NSW,Argenton,350,460,810,9,819,0.4321,0.5679,0.989,0.011
NSW,Argents Hill,55,35,90,1,91,0.6111,0.3889,0.989,0.011
NSW,Ariah Park,85,255,340,1,341,0.25,0.75,0.9971,0.0029
NSW,Armidale,1533,1572,3105,29,3134,0.4937,0.5063,0.9907,0.0093
NSW,Armidale East,483,727,1210,10,1220,0.3992,0.6008,0.9918,0.0082
NSW,Armidale Hospital,215,303,518,5,523,0.4151,0.5849,0.9904,0.0096
NSW,Armidale South,565,472,1037,4,1041,0.5448,0.4552,0.9962,0.0038
