state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
NSW,Menai North,769,609,1378,9,1387,0.5581,0.4419,0.9935,0.0065
NSW,Menangle,179,371,550,4,554,0.3255,0.6745,0.9928,0.0072
NSW,Mendooran,84,357,441,1,442,0.1905,0.8095,0.9977,0.0023
NSW,Menindee,136,252,388,5,393,0.3505,0.6495,0.9873,0.0127
NSW,Merewether,474,490,964,9,973,0.4917,0.5083,0.9908,0.0092
NSW,Merewether Heights,742,557,1299,6,1305,0.5712,0.4288,0.9954,0.0046
NSW,Merewether South,1397,917,2314,15,2329,0.6037,0.3963,0.9936,0.0064
NSW,Merewether West,597,418,1015,4,1019,0.5882,0.4118,0.9961,0.0039
NSW,Merimbula,891,1088,1979,19,1998,0.4502,0.5498,0.9905,0.0095
NSW,Merriwa,282,641,923,3,926,0.3055,0.6945,0.9968,0.0032
NSW,Merriwagga,23,87,110,0,110,0.2091,0.7909,1.0,0.0
NSW,Merrylands,815,1084,1899,25,1924,0.4292,0.5708,0.987,0.013
NSW,Merrylands East,909,1027,1936,25,1961,0.4695,0.5305,0.9873,0.0127
NSW,Merrylands North,1122,1120,2242,27,2269,0.5004,0.4996,0.9881,0.0119
NSW,Merrylands West,249,288,537,0,537,0.4637,0.5363,1.0,0.0
NSW,Metella Road,1576,1843,3419,50,3469,0.461,0.539,0.9856,0.0144
NSW,Metford,731,1164,1895,18,1913,0.3858,0.6142,0.9906,0.0094
NSW,Michelago,93,115,208,0,208,0.4471,0.5529,1.0,0.0
NSW,Middle Dural,386,588,974,10,984,0.3963,0.6037,0.9898,0.0102
NSW,Middle Harbour,952,650,1602,11,1613,0.5943,0.4057,0.9932,0.0068
NSW,Milbrodale,76,183,259,2,261,0.2934,0.7066,0.9923,0.0077
NSW,Milbrulong,19,53,72,0,72,0.2639,0.7361,1.0,0.0
NSW,Miller,724,968,1692,27,1719,0.4279,0.5721,0.9843,0.0157
NSW,Millers Forest,112,162,274,0,274,0.4088,0.5912,1.0,0.0
NSW,Millers Point,485,353,838,11,849,0.5788,0.4212,0.987,0.013
NSW,Millfield,113,253,366,2,368,0.3087,0.6913,0.9946,0.0054
NSW,Millthorpe,237,445,682,5,687,0.3475,0.6525,0.9927,0.0073
NSW,Milperra,1042,1589,2631,17,2648,0.396,0.604,0.9936,0.0064
NSW,Milsons Point,416,232,648,2,650,0.642,0.358,0.9969,0.0031
NSW,Milton,562,846,1408,5,1413,0.3991,0.6009,0.9965,0.0035
NSW,Milvale,15,69,84,0,84,0.1786,0.8214,1.0,0.0
NSW,Mimosa,1252,1042,2294,12,2306,0.5458,0.4542,0.9948,0.0052
NSW,Minchinbury,1262,1390,2652,25,2677,0.4759,0.5241,0.9907,0.0093
NSW,Minmi,192,290,482,5,487,0.3983,0.6017,0.9897,0.0103
NSW,Minnamurra,921,871,1792,17,1809,0.514,0.486,0.9906,0.0094
NSW,Minto,881,1402,2283,42,2325,0.3859,0.6141,0.9819,0.0181
NSW,Miranda,1158,1225,2383,18,2401,0.4859,0.5141,0.9925,0.0075
NSW,Miranda Central,612,749,1361,15,1376,0.4497,0.5503,0.9891,0.0109
NSW,Miranda North,891,1149,2040,18,2058,0.4368,0.5632,0.9913,0.0087
NSW,Mirrool,18,74,92,0,92,0.1957,0.8043,1.0,0.0
NSW,Missabotti,54,61,115,0,115,0.4696,0.5304,1.0,0.0
NSW,Mitchell Campus,79,50,129,0,129,0.6124,0.3876,1.0,0.0
NSW,Mitchells Island,74,152,226,2,228,0.3274,0.6726,0.9912,0.0088
NSW,Mittagong,1110,1380,2490,13,2503,0.4458,0.5542,0.9948,0.0052
NSW,Mittagong South,366,456,822,4,826,0.4453,0.5547,0.9952,0.0048
NSW,Moama,669,1469,2138,17,2155,0.3129,0.6871,0.9921,0.0079
NSW,Modanville,118,161,279,1,280,0.4229,0.5771,0.9964,0.0036
NSW,Model Farms,1021,1197,2218,14,2232,0.4603,0.5397,0.9937,0.0063
NSW,Mogo,136,163,299,5,304,0.4548,0.5452,0.9836,0.0164
NSW,Mole Crossing,34,50,84,0,84,0.4048,0.5952,1.0,0.0
NSW,Mollymook,689,808,1497,7,1504,0.4603,0.5397,0.9953,0.0047
NSW,Molong,386,939,1325,16,1341,0.2913,0.7087,0.9881,0.0119
NSW,Mona Vale,2258,2379,4637,22,4659,0.487,0.513,0.9953,0.0047
NSW,Mona Vale Beach,692,685,1377,10,1387,0.5025,0.4975,0.9928,0.0072
NSW,Mona Vale Hospital,334,376,710,7,717,0.4704,0.5296,0.9902,0.0098
NSW,Mona Vale North,484,480,964,5,969,0.5021,0.4979,0.9948,0.0052
NSW,Monteagle,23,93,116,0,116,0.1983,0.8017,1.0,0.0
NSW,Montefiores,68,185,253,0,253,0.2688,0.7312,1.0,0.0
NSW,Monterey,1147,1106,2253,21,2274,0.5091,0.4909,0.9908,0.0092
NSW,Monterey Street,153,181,334,3,337,0.4581,0.5419,0.9911,0.0089
NSW,Mooball,62,106,168,1,169,0.369,0.631,0.9941,0.0059
NSW,Moonan Flat,59,120,179,1,180,0.3296,0.6704,0.9944,0.0056
NSW,Moonbi,107,380,487,6,493,0.2197,0.7803,0.9878,0.0122
NSW,Moonee Beach,384,472,856,1,857,0.4486,0.5514,0.9988,0.0012
NSW,Mooney Mooney,131,139,270,8,278,0.4852,0.5148,0.9712,0.0288
NSW,Moor Creek,147,256,403,4,407,0.3648,0.6352,0.9902,0.0098
NSW,Moorebank,1783,2251,4034,41,4075,0.442,0.558,0.9899,0.0101
NSW,Moorefield,432,476,908,12,920,0.4758,0.5242,0.987,0.013
NSW,Moorland,90,233,323,2,325,0.2786,0.7214,0.9938,0.0062
NSW,Moree,627,1619,2246,23,2269,0.2792,0.7208,0.9899,0.0101
NSW,Moree East,394,1168,1562,9,1571,0.2522,0.7478,0.9943,0.0057
NSW,Moree West,371,961,1332,11,1343,0.2785,0.7215,0.9918,0.0082
NSW,Morgan Street,541,840,1381,17,1398,0.3917,0.6083,0.9878,0.0122
NSW,Morisset,628,972,1600,25,1625,0.3925,0.6075,0.9846,0.0154
NSW,Morongla Creek,34,159,193,2,195,0.1762,0.8238,0.9897,0.0103
NSW,Morpeth,382,574,956,7,963,0.3996,0.6004,0.9927,0.0073
NSW,Mortdale Central,1083,1176,2259,24,2283,0.4794,0.5206,0.9895,0.0105
NSW,Mortdale East,560,522,1082,9,1091,0.5176,0.4824,0.9918,0.0082
NSW,Mortdale Heights,487,556,1043,8,1051,0.4669,0.5331,0.9924,0.0076
NSW,Mortdale West,993,1027,2020,17,2037,0.4916,0.5084,0.9917,0.0083
NSW,Mortlake,1076,960,2036,11,2047,0.5285,0.4715,0.9946,0.0054
NSW,Morts Estate,173,250,423,2,425,0.409,0.591,0.9953,0.0047
NSW,Morundah,13,42,55,0,55,0.2364,0.7636,1.0,0.0
NSW,Moruya,1209,1507,2716,25,2741,0.4451,0.5549,0.9909,0.0091
NSW,Morven,24,55,79,0,79,0.3038,0.6962,1.0,0.0
NSW,Mosman,2796,1729,4525,25,4550,0.6179,0.3821,0.9945,0.0055
NSW,Mosman Bay,1534,972,2506,11,2517,0.6121,0.3879,0.9956,0.0044
NSW,Mosman West,312,316,628,2,630,0.4968,0.5032,0.9968,0.0032
NSW,Moss Vale,406,721,1127,12,1139,0.3602,0.6398,0.9895,0.0105
NSW,Moss Vale Central,947,1421,2368,11,2379,0.3999,0.6001,0.9954,0.0046
NSW,Moulamein,128,312,440,6,446,0.2909,0.7091,0.9865,0.0135
NSW,Mount Annan,1086,1306,2392,17,2409,0.454,0.546,0.9929,0.0071
NSW,Mount Austin,711,1554,2265,22,2287,0.3139,0.6861,0.9904,0.0096
NSW,Mount Brown,808,1167,1975,11,1986,0.4091,0.5909,0.9945,0.0055
NSW,Mount Colah,1365,1352,2717,24,2741,0.5024,0.4976,0.9912,0.0088
NSW,Mount Druitt Hospital,219,279,498,7,505,0.4398,0.5602,0.9861,0.0139
NSW,Mount Druitt North,746,986,1732,27,1759,0.4307,0.5693,0.9847,0.0153
NSW,Mount Druitt South,1216,1492,2708,44,2752,0.449,0.551,0.984,0.016
NSW,Mount George,46,159,205,2,207,0.2244,0.7756,0.9903,0.0097
NSW,Mount Hunter,185,327,512,2,514,0.3613,0.6387,0.9961,0.0039
NSW,Mount Hutton,806,932,1738,17,1755,0.4638,0.5362,0.9903,0.0097
NSW,Mount Kanwary,63,119,182,1,183,0.3462,0.6538,0.9945,0.0055
NSW,Mount Keira,586,445,1031,3,1034,0.5684,0.4316,0.9971,0.0029
NSW,Mount Kembla,326,268,594,3,597,0.5488,0.4512,0.995,0.005
NSW,Mount Kuring-Gai,570,540,1110,8,1118,0.5135,0.4865,0.9928,0.0072
NSW,Mount Lewis,712,851,1563,40,1603,0.4555,0.5445,0.975,0.025
NSW,Mount Ousley,1104,857,1961,13,1974,0.563,0.437,0.9934,0.0066
NSW,Mount Pritchard,1391,1734,3125,50,3175,0.4451,0.5549,0.9843,0.0157
NSW,Mount Pritchard East,837,1063,1900,21,1921,0.4405,0.5595,0.9891,0.0109
NSW,Mount Riverview,840,895,1735,4,1739,0.4841,0.5159,0.9977,0.0023
NSW,Mount Saint Thomas,1085,892,1977,12,1989,0.5488,0.4512,0.994,0.006
NSW,Mount Terry,499,625,1124,10,1134,0.444,0.556,0.9912,0.0088
NSW,Mount Victoria,225,240,465,2,467,0.4839,0.5161,0.9957,0.0043
NSW,Mount Warrigal,1232,1248,2480,32,2512,0.4968,0.5032,0.9873,0.0127
NSW,Mount White,56,49,105,1,106,0.5333,0.4667,0.9906,0.0094
NSW,Mount Wilson,41,42,83,0,83,0.494,0.506,1.0,0.0
NSW,Mowbray,983,674,1657,11,1668,0.5932,0.4068,0.9934,0.0066
NSW,Mowll,105,309,414,3,417,0.2536,0.7464,0.9928,0.0072
NSW,Mudgee,747,1414,2161,12,2173,0.3457,0.6543,0.9945,0.0055
NSW,Mudgee High School,618,1279,1897,15,1912,0.3258,0.6742,0.9922,0.0078
NSW,Mudgee South,684,1237,1921,9,1930,0.3561,0.6439,0.9953,0.0047
NSW,Muirfield,692,583,1275,11,1286,0.5427,0.4573,0.9914,0.0086
NSW,Mulbring,233,355,588,4,592,0.3963,0.6037,0.9932,0.0068
NSW,Mulgoa,390,640,1030,8,1038,0.3786,0.6214,0.9923,0.0077
NSW,Mullaley,51,175,226,2,228,0.2257,0.7743,0.9912,0.0088
NSW,Mullaway,543,648,1191,11,1202,0.4559,0.5441,0.9908,0.0092
NSW,Mullengandra,45,83,128,1,129,0.3516,0.6484,0.9922,0.0078
NSW,Mullion Creek,92,174,266,1,267,0.3459,0.6541,0.9963,0.0037
NSW,Mullumbimby,1442,1209,2651,61,2712,0.5439,0.4561,0.9775,0.0225
NSW,Mulwala,406,790,1196,3,1199,0.3395,0.6605,0.9975,0.0025
NSW,Mumbil,28,132,160,1,161,0.175,0.825,0.9938,0.0062
NSW,Mungindi,124,304,428,3,431,0.2897,0.7103,0.993,0.007
NSW,Murrami,30,105,135,2,137,0.2222,0.7778,0.9854,0.0146
NSW,Murray Downs,70,138,208,1,209,0.3365,0.6635,0.9952,0.0048
NSW,Murray Farm,1895,1576,3471,18,3489,0.546,0.454,0.9948,0.0052
NSW,Murrin Bridge,22,36,58,0,58,0.3793,0.6207,1.0,0.0
NSW,Murringo,50,111,161,2,163,0.3106,0.6894,0.9877,0.0123
NSW,Murrumbateman,514,474,988,6,994,0.5202,0.4798,0.994,0.006
NSW,Murrumburrah,155,333,488,4,492,0.3176,0.6824,0.9919,0.0081
NSW,Murrurundi,197,442,639,6,645,0.3083,0.6917,0.9907,0.0093
NSW,Murwillumbah,1331,1738,3069,24,3093,0.4337,0.5663,0.9922,0.0078
NSW,Murwillumbah South,409,651,1060,12,1072,0.3858,0.6142,0.9888,0.0112
NSW,Muswellbrook,468,738,1206,10,1216,0.3881,0.6119,0.9918,0.0082
NSW,Muswellbrook East,497,722,1219,5,1224,0.4077,0.5923,0.9959,0.0041
NSW,Muswellbrook North,801,1233,2034,14,2048,0.3938,0.6062,0.9932,0.0068
NSW,Muswellbrook South,434,881,1315,8,1323,0.33,0.67,0.994,0.006
NSW,Mylestom,172,239,411,7,418,0.4185,0.5815,0.9833,0.0167
NSW,Nabiac,298,575,873,6,879,0.3414,0.6586,0.9932,0.0068
NSW,Nagle Park,1070,904,1974,22,1996,0.542,0.458,0.989,0.011
NSW,Nambucca Heads,1183,1769,2952,20,2972,0.4007,0.5993,0.9933,0.0067
NSW,Nana Glen,213,361,574,7,581,0.3711,0.6289,0.988,0.012
NSW,Nangus,25,105,130,2,132,0.1923,0.8077,0.9848,0.0152
NSW,Narara,431,630,1061,5,1066,0.4062,0.5938,0.9953,0.0047
NSW,Narara South,732,821,1553,10,1563,0.4713,0.5287,0.9936,0.0064
NSW,Narellan,696,1298,1994,23,2017,0.349,0.651,0.9886,0.0114
NSW,Narellan Vale,1385,1882,3267,29,3296,0.4239,0.5761,0.9912,0.0088
NSW,Naremburn,1822,976,2798,25,2823,0.6512,0.3488,0.9911,0.0089
NSW,Narooma,780,1193,1973,12,1985,0.3953,0.6047,0.994,0.006
NSW,Narrabeen,1091,1030,2121,21,2142,0.5144,0.4856,0.9902,0.0098
NSW,Narrabeen North,1510,1484,2994,38,3032,0.5043,0.4957,0.9875,0.0125
NSW,Narrabri,624,1609,2233,13,2246,0.2794,0.7206,0.9942,0.0058
NSW,Narrabri West,242,876,1118,5,1123,0.2165,0.7835,0.9955,0.0045
NSW,Narrandera,477,1401,1878,12,1890,0.254,0.746,0.9937,0.0063
NSW,Narrandera East,187,409,596,0,596,0.3138,0.6862,1.0,0.0
NSW,Narrandera West,96,256,352,2,354,0.2727,0.7273,0.9944,0.0056
NSW,Narraweena,1706,2121,3827,56,3883,0.4458,0.5542,0.9856,0.0144
NSW,Narromine,652,1870,2522,18,2540,0.2585,0.7415,0.9929,0.0071
NSW,Narwee,1324,1298,2622,33,2655,0.505,0.495,0.9876,0.0124
NSW,Nashdale,105,190,295,2,297,0.3559,0.6441,0.9933,0.0067
NSW,Nazareth House,67,131,198,0,198,0.3384,0.6616,1.0,0.0
NSW,Neath,73,157,230,0,230,0.3174,0.6826,1.0,0.0
NSW,Nelligen,87,131,218,1,219,0.3991,0.6009,0.9954,0.0046
NSW,Nelson Bay,514,666,1180,10,1190,0.4356,0.5644,0.9916,0.0084
NSW,Nelson Bay Central,418,495,913,3,916,0.4578,0.5422,0.9967,0.0033
NSW,Nelson Bay East,148,243,391,2,393,0.3785,0.6215,0.9949,0.0051
NSW,Nelson Bay West,203,211,414,7,421,0.4903,0.5097,0.9834,0.0166
NSW,Nemingha,194,512,706,3,709,0.2748,0.7252,0.9958,0.0042
NSW,Nepean High,720,989,1709,12,1721,0.4213,0.5787,0.993,0.007
NSW,Nepean Hospital,138,273,411,0,411,0.3358,0.6642,1.0,0.0
NSW,Neurea,17,27,44,0,44,0.3864,0.6136,1.0,0.0
NSW,Neutral Bay,2606,1540,4146,30,4176,0.6286,0.3714,0.9928,0.0072
NSW,Neutral Bay West,679,345,1024,4,1028,0.6631,0.3369,0.9961,0.0039
NSW,Nevertire,46,106,152,2,154,0.3026,0.6974,0.987,0.013
NSW,Neville,29,93,122,0,122,0.2377,0.7623,1.0,0.0
NSW,New Berrima,101,183,284,0,284,0.3556,0.6444,1.0,0.0
NSW,New Lambton,1647,1410,3057,20,3077,0.5388,0.4612,0.9935,0.0065
NSW,New Lambton Central,508,567,1075,5,1080,0.4726,0.5274,0.9954,0.0046
NSW,New Lambton Heights,377,249,626,5,631,0.6022,0.3978,0.9921,0.0079
NSW,New Lambton South,747,795,1542,21,1563,0.4844,0.5156,0.9866,0.0134
NSW,Newbridge,52,78,130,0,130,0.4,0.6,1.0,0.0
NSW,Newbridge Heights,997,1166,2163,32,2195,0.4609,0.5391,0.9854,0.0146
NSW,Newcastle,718,435,1153,10,1163,0.6227,0.3773,0.9914,0.0086
NSW,Newington,636,369,1005,12,1017,0.6328,0.3672,0.9882,0.0118
NSW,Newport,1058,1121,2179,7,2186,0.4855,0.5145,0.9968,0.0032
NSW,Newport Beach,1134,900,2034,15,2049,0.5575,0.4425,0.9927,0.0073
NSW,Newrybar,249,206,455,4,459,0.5473,0.4527,0.9913,0.0087
NSW,Newtown East,357,94,451,3,454,0.7916,0.2084,0.9934,0.0066
NSW,Newtown North,1986,508,2494,27,2521,0.7963,0.2037,0.9893,0.0107
NSW,Newville,300,509,809,4,813,0.3708,0.6292,0.9951,0.0049
NSW,Niagara Park,1418,1651,3069,26,3095,0.462,0.538,0.9916,0.0084
NSW,Niangala,26,77,103,0,103,0.2524,0.7476,1.0,0.0
NSW,Nimbin,617,328,945,26,971,0.6529,0.3471,0.9732,0.0268
NSW,Nimmitabel,112,198,310,1,311,0.3613,0.6387,0.9968,0.0032
NSW,Noller Park,391,365,756,9,765,0.5172,0.4828,0.9882,0.0118
NSW,Norah Head,454,443,897,5,902,0.5061,0.4939,0.9945,0.0055
NSW,Nords Wharf,230,273,503,4,507,0.4573,0.5427,0.9921,0.0079
NSW,Normanhurst,1141,1040,2181,13,2194,0.5232,0.4768,0.9941,0.0059
NSW,Normanhurst North,745,670,1415,7,1422,0.5265,0.4735,0.9951,0.0049
NSW,Normanhurst West,1150,942,2092,7,2099,0.5497,0.4503,0.9967,0.0033
NSW,North Arm Cove,92,167,259,0,259,0.3552,0.6448,1.0,0.0
NSW,North Balgowlah,952,876,1828,11,1839,0.5208,0.4792,0.994,0.006
NSW,North Haven,494,951,1445,12,1457,0.3419,0.6581,0.9918,0.0082
NSW,North Manly,543,571,1114,15,1129,0.4874,0.5126,0.9867,0.0133
NSW,North Nowra,281,489,770,3,773,0.3649,0.6351,0.9961,0.0039
NSW,North Richmond,1019,1919,2938,27,2965,0.3468,0.6532,0.9909,0.0091
NSW,North Rocks Road,1543,1521,3064,11,3075,0.5036,0.4964,0.9964,0.0036
NSW,North Rothbury,117,146,263,2,265,0.4449,0.5551,0.9925,0.0075
NSW,North Star,24,163,187,3,190,0.1283,0.8717,0.9842,0.0158
NSW,North Sydney,989,495,1484,7,1491,0.6664,0.3336,0.9953,0.0047
NSW,Northbridge,714,460,1174,9,1183,0.6082,0.3918,0.9924,0.0076
NSW,Northbridge East,1404,799,2203,19,2222,0.6373,0.3627,0.9914,0.0086
NSW,Northmead,1537,1907,3444,22,3466,0.4463,0.5537,0.9937,0.0063
NSW,Northmead High,767,856,1623,15,1638,0.4726,0.5274,0.9908,0.0092
NSW,Nowendoc,15,62,77,1,78,0.1948,0.8052,0.9872,0.0128
NSW,Nowra,837,1384,2221,10,2231,0.3769,0.6231,0.9955,0.0045
NSW,Nowra Centre,479,701,1180,14,1194,0.4059,0.5941,0.9883,0.0117
NSW,Nowra East,692,1322,2014,23,2037,0.3436,0.6564,0.9887,0.0113
NSW,Nowra Hill,90,190,280,1,281,0.3214,0.6786,0.9964,0.0036
NSW,Nowra Hospital,125,146,271,3,274,0.4613,0.5387,0.9891,0.0109
NSW,Nowra South,167,354,521,7,528,0.3205,0.6795,0.9867,0.0133
NSW,Nulkaba,184,286,470,6,476,0.3915,0.6085,0.9874,0.0126
NSW,Numeralla,50,94,144,1,145,0.3472,0.6528,0.9931,0.0069
NSW,Nundle,95,303,398,7,405,0.2387,0.7613,0.9827,0.0173
NSW,Nymagee,12,68,80,0,80,0.15,0.85,1.0,0.0
NSW,Nymboida,54,67,121,1,122,0.4463,0.5537,0.9918,0.0082
NSW,Nyngan,353,1151,1504,16,1520,0.2347,0.7653,0.9895,0.0105
NSW,O'Connell,95,140,235,1,236,0.4043,0.5957,0.9958,0.0042
NSW,O.L.C. Home,281,382,663,6,669,0.4238,0.5762,0.991,0.009
NSW,Oak Flats,1508,1793,3301,41,3342,0.4568,0.5432,0.9877,0.0123
NSW,Oak Flats East,474,487,961,10,971,0.4932,0.5068,0.9897,0.0103
NSW,Oakdale,343,563,906,11,917,0.3786,0.6214,0.988,0.012
NSW,Oakey Park,92,125,217,5,222,0.424,0.576,0.9775,0.0225
NSW,Oakhill Drive,1329,994,2323,11,2334,0.5721,0.4279,0.9953,0.0047
NSW,Oaklands,62,194,256,2,258,0.2422,0.7578,0.9922,0.0078
NSW,Oakville,426,895,1321,12,1333,0.3225,0.6775,0.991,0.009
NSW,Oatlands,1162,1365,2527,19,2546,0.4598,0.5402,0.9925,0.0075
NSW,Oatley,1511,1447,2958,19,2977,0.5108,0.4892,0.9936,0.0064
NSW,Oatley West,1226,1151,2377,12,2389,0.5158,0.4842,0.995,0.005
NSW,Oberon,609,1321,1930,31,1961,0.3155,0.6845,0.9842,0.0158
NSW,Ocean Beach,1135,1466,2601,12,2613,0.4364,0.5636,0.9954,0.0046
NSW,Ocean Shores,1131,814,1945,28,1973,0.5815,0.4185,0.9858,0.0142
NSW,Ocean View Park,1754,1490,3244,38,3282,0.5407,0.4593,0.9884,0.0116
NSW,Old Bar,925,1153,2078,9,2087,0.4451,0.5549,0.9957,0.0043
NSW,Old Guildford,461,541,1002,16,1018,0.4601,0.5399,0.9843,0.0157
NSW,Old Toongabbie,2279,2494,4773,50,4823,0.4775,0.5225,0.9896,0.0104
NSW,Oldfield Road,801,848,1649,20,1669,0.4857,0.5143,0.988,0.012
NSW,Ootha,4,39,43,0,43,0.093,0.907,1.0,0.0
NSW,Orana Heights,879,1886,2765,19,2784,0.3179,0.6821,0.9932,0.0068
NSW,Orange,910,1373,2283,26,2309,0.3986,0.6014,0.9887,0.0113
NSW,Orange East,707,1149,1856,16,1872,0.3809,0.6191,0.9915,0.0085
NSW,Orange Hospital,172,323,495,6,501,0.3475,0.6525,0.988,0.012
NSW,Orange North,166,323,489,4,493,0.3395,0.6605,0.9919,0.0081
NSW,Orange South,625,1095,1720,16,1736,0.3634,0.6366,0.9908,0.0092
NSW,Orange West,1339,1995,3334,31,3365,0.4016,0.5984,0.9908,0.0092
NSW,Orangeville,120,314,434,3,437,0.2765,0.7235,0.9931,0.0069
NSW,Orchard Hills,340,552,892,5,897,0.3812,0.6188,0.9944,0.0056
NSW,Orient Point,204,282,486,1,487,0.4198,0.5802,0.9979,0.0021
NSW,Otford,114,81,195,2,197,0.5846,0.4154,0.9898,0.0102
NSW,Ourimbah,946,1017,1963,16,1979,0.4819,0.5181,0.9919,0.0081
NSW,Oxley Island,53,80,133,1,134,0.3985,0.6015,0.9925,0.0075
NSW,Oxley Park,1004,1473,2477,31,2508,0.4053,0.5947,0.9876,0.0124
NSW,Oxley Vale,495,1010,1505,11,1516,0.3289,0.6711,0.9927,0.0073
NSW,Oyster Bay,1098,1067,2165,14,2179,0.5072,0.4928,0.9936,0.0064
NSW,Pacific Palms,433,485,918,10,928,0.4717,0.5283,0.9892,0.0108
NSW,Paddington,765,404,1169,7,1176,0.6544,0.3456,0.994,0.006
NSW,Paddington North,389,150,539,6,545,0.7217,0.2783,0.989,0.011
NSW,Paddington South,1280,622,1902,17,1919,0.673,0.327,0.9911,0.0089
NSW,Padstow,1768,2023,3791,51,3842,0.4664,0.5336,0.9867,0.0133
NSW,Padstow East,698,833,1531,20,1551,0.4559,0.5441,0.9871,0.0129
NSW,Padstow North,216,302,518,4,522,0.417,0.583,0.9923,0.0077
NSW,Padstow South,1224,1528,2752,31,2783,0.4448,0.5552,0.9889,0.0111
NSW,Pagewood,387,329,716,15,731,0.5405,0.4595,0.9795,0.0205
NSW,Pallamallawa,78,264,342,2,344,0.2281,0.7719,0.9942,0.0058
NSW,Palm Beach,535,462,997,8,1005,0.5366,0.4634,0.992,0.008
NSW,Palmers Island,215,382,597,6,603,0.3601,0.6399,0.99,0.01
NSW,Pambula,621,699,1320,11,1331,0.4705,0.5295,0.9917,0.0083
NSW,Panania,486,654,1140,12,1152,0.4263,0.5737,0.9896,0.0104
NSW,Panania Central,646,989,1635,23,1658,0.3951,0.6049,0.9861,0.0139
NSW,Panania North,911,1109,2020,15,2035,0.451,0.549,0.9926,0.0074
NSW,Panania South,1384,1854,3238,31,3269,0.4274,0.5726,0.9905,0.0095
NSW,Parkes,625,1466,2091,13,2104,0.2989,0.7011,0.9938,0.0062
NSW,Parkes East,351,725,1076,5,1081,0.3262,0.6738,0.9954,0.0046
NSW,Parkes High,174,383,557,3,560,0.3124,0.6876,0.9946,0.0054
NSW,Parkes Hospital,238,490,728,3,731,0.3269,0.6731,0.9959,0.0041
NSW,Parkes South,215,508,723,3,726,0.2974,0.7026,0.9959,0.0041
NSW,Parkes Street,789,647,1436,11,1447,0.5494,0.4506,0.9924,0.0076
NSW,Parklands,999,628,1627,16,1643,0.614,0.386,0.9903,0.0097
NSW,Parkview,287,660,947,12,959,0.3031,0.6969,0.9875,0.0125
NSW,Parramatta,1271,928,2199,25,2224,0.578,0.422,0.9888,0.0112
NSW,Parramatta East,527,612,1139,14,1153,0.4627,0.5373,0.9879,0.0121
NSW,Parramatta High,188,135,323,3,326,0.582,0.418,0.9908,0.0092
NSW,Parramatta North,854,783,1637,17,1654,0.5217,0.4783,0.9897,0.0103
NSW,Parry Park,82,117,199,2,201,0.4121,0.5879,0.99,0.01
NSW,Parsley Bay,286,250,536,4,540,0.5336,0.4664,0.9926,0.0074
NSW,Paterson,172,279,451,2,453,0.3814,0.6186,0.9956,0.0044
NSW,Patonga,77,99,176,0,176,0.4375,0.5625,1.0,0.0
NSW,Paxton,113,276,389,4,393,0.2905,0.7095,0.9898,0.0102
NSW,Peak Hill,194,569,763,1,764,0.2543,0.7457,0.9987,0.0013
NSW,Peakhurst,203,273,476,7,483,0.4265,0.5735,0.9855,0.0145
NSW,Peakhurst East,802,872,1674,18,1692,0.4791,0.5209,0.9894,0.0106
NSW,Peakhurst South,800,1030,1830,13,1843,0.4372,0.5628,0.9929,0.0071
NSW,Peakhurst West,1244,1459,2703,20,2723,0.4602,0.5398,0.9927,0.0073
NSW,Pearl Beach,187,142,329,3,332,0.5684,0.4316,0.991,0.009
NSW,Peats Ridge,105,152,257,0,257,0.4086,0.5914,1.0,0.0
NSW,Peel,41,52,93,2,95,0.4409,0.5591,0.9789,0.0211
NSW,Peel High,419,1223,1642,14,1656,0.2552,0.7448,0.9915,0.0085
NSW,Pelaw Main,214,333,547,5,552,0.3912,0.6088,0.9909,0.0091
NSW,Pelican,341,404,745,3,748,0.4577,0.5423,0.996,0.004
NSW,Pembrooke,38,114,152,1,153,0.25,0.75,0.9935,0.0065
NSW,Pendle Hill,1056,1311,2367,35,2402,0.4461,0.5539,0.9854,0.0146
NSW,Pendle Hill Central,124,151,275,9,284,0.4509,0.5491,0.9683,0.0317
NSW,Pendle Hill North,175,270,445,1,446,0.3933,0.6067,0.9978,0.0022
NSW,Pendle Hill South,884,1117,2001,33,2034,0.4418,0.5582,0.9838,0.0162
NSW,Pennant Hills,1835,1391,3226,25,3251,0.5688,0.4312,0.9923,0.0077
NSW,Penrith,655,902,1557,16,1573,0.4207,0.5793,0.9898,0.0102
NSW,Penrith Central,451,582,1033,16,1049,0.4366,0.5634,0.9847,0.0153
NSW,Penrith East,649,860,1509,14,1523,0.4301,0.5699,0.9908,0.0092
NSW,Penrith North,264,415,679,6,685,0.3888,0.6112,0.9912,0.0088
NSW,Penrith South,1294,2039,3333,40,3373,0.3882,0.6118,0.9881,0.0119
NSW,Penrose,52,74,126,0,126,0.4127,0.5873,1.0,0.0
NSW,Penshurst,664,680,1344,20,1364,0.494,0.506,0.9853,0.0147
NSW,Penshurst Central,1110,955,2065,21,2086,0.5375,0.4625,0.9899,0.0101
NSW,Perisher Valley,13,9,22,1,23,0.5909,0.4091,0.9565,0.0435
NSW,Perthville,169,327,496,8,504,0.3407,0.6593,0.9841,0.0159
NSW,Peters Corner,1655,1137,2792,28,2820,0.5928,0.4072,0.9901,0.0099
