,state,polling_place,latitude,longitude
169,NSW,Hurlstone Park,-33.908507,151.132444
170,NSW,Hurstville,-33.9642,151.102
172,NSW,Hurstville East,-33.9641,151.111
173,NSW,Hurstville North,-33.9544,151.096
174,NSW,Kingsgrove,-33.9401,151.10299999999998
175,NSW,Kingsgrove North,-33.93385,151.09621
176,NSW,Kingsgrove South,-33.9494,151.102
177,NSW,Kogarah Central,-33.9616,151.136
178,NSW,Kyeemagh,-33.9497,151.161
180,NSW,Marrickville South,-33.9207,151.15200000000002
181,NSW,Marrickville West,-33.9144,151.14600000000002
182,NSW,North Bexley North,-33.9383,151.109
183,NSW,North Earlwood,-33.9182,151.123
184,NSW,Rockdale,-33.9527,151.142
186,NSW,Rockdale Central,-33.9537,151.139
187,NSW,Rockdale West,-33.9504,151.136
191,NSW,Sydney,-33.8730501,151.20645280000002
192,NSW,Tempe,-33.919948,151.1610947
193,NSW,The Warren,-33.9154803,151.15037769999998
194,NSW,Turrella,-33.9319,151.145
195,NSW,Undercliffe,-33.9244,151.139
197,NSW,Boronia Park,-33.8211705,151.1355456
198,NSW,Carlingford,-33.7800229,151.0553219
200,NSW,Denistone,-33.79244,151.08353
201,NSW,Denistone East,-33.7935,151.097
202,NSW,Denistone West,-33.8036,151.07
204,NSW,Eastview,-33.7943477,151.109308
205,NSW,Eastwood,-33.7928,151.078
206,NSW,Eastwood Heights,-33.7817,151.096
207,NSW,Eastwood West,-33.7906,151.067
208,NSW,Epping,-33.7745,151.079
209,NSW,Epping East,-33.768408,151.08714719999998
210,NSW,Epping Heights,-33.762840000000004,151.07377
211,NSW,Epping North,-33.7576,151.096
212,NSW,Epping West,-33.7728471,151.0684506
213,NSW,Ermington Central,-33.816527,151.05728430000002
214,NSW,Ermington West,-33.8061,151.058
215,NSW,Gladesville,-33.8323301,151.12592180000001
216,NSW,Gladesville North,-33.8277117,151.1201395
217,NSW,Kent Road,-33.7864,151.109
218,NSW,Macquarie Park,-33.7797606,151.11492180000002
219,NSW,Marsfield,-33.781032,151.102359
220,NSW,Marsfield North,-33.770391100000005,151.09962230000002
221,NSW,Meadowbank,-33.814842299999995,151.09243769999998
222,NSW,Melrose Park,-33.8151,151.07299999999998
223,NSW,Middle Ryde,-33.81339129999999,151.1200494
224,NSW,Parkes Street,-33.8085,151.1
225,NSW,Putney,-33.8249,151.111
226,NSW,Roselea,-33.7654,151.053
227,NSW,Ryde,-33.8128,151.105
228,NSW,Ryde East,-33.8063669,151.1268905
229,NSW,Ryde Heights,-33.8178,151.09799999999998
230,NSW,Ryde North,-33.7939,151.12
231,NSW,Ryde South,-33.8217896,151.1080114
234,NSW,Sydney,-33.8730501,151.20645280000002
235,NSW,Top Ryde,-33.8118,151.108
236,NSW,Truscott,-33.7947,151.13
237,NSW,West Ryde,-33.8087,151.085
239,NSW,Annangrove,-33.6687322,150.9522275
240,NSW,Arcadia,-33.6231223,151.05204609999998
241,NSW,Asquith,-33.6855,151.112
242,NSW,Beecroft,-33.75232329999999,151.06516630000002
243,NSW,Berowra,-33.6181,151.14700000000002
244,NSW,Berowra Heights,-33.609400799999996,151.1427318
246,NSW,Brooklyn,-33.54813,151.21538
248,NSW,Cheltenham,-33.7578,151.07399999999998
249,NSW,Cherrybrook,-33.7314,151.042
250,NSW,Cherrybrook Central,-33.7205638,151.0459716
