longitude,latitude,SSC_CODE16,SSC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,xcoord,ycoord
148.9585367,-32.6132929,10067,Apsley (NSW),1,New South Wales,28.2301,148.95854,-32.61329
148.9806916,-36.38259349,10068,Arable,1,New South Wales,116.3272,148.98069,-36.38259
153.063079,-30.92206331,10069,Arakoon,1,New South Wales,24.794,153.06308,-30.92206
149.8160154,-35.63987492,10070,Araluen (NSW),1,New South Wales,121.2736,149.81602,-35.63987
145.2868643,-35.77424645,10071,Aratula (NSW),1,New South Wales,163.3813,145.28686,-35.77425
151.0671141,-33.61069053,10072,Arcadia (NSW),1,New South Wales,22.4088,151.06711,-33.61069
151.5770762,-33.06004521,10073,Arcadia Vale,1,New South Wales,1.3455,151.57708,-33.06005
150.7880922,-31.72663351,10074,Ardglen,1,New South Wales,72.2728,150.78809,-31.72663
151.5215159,-30.57008973,10075,Arding,1,New South Wales,54.771,151.52152,-30.57009
146.8545273,-34.34357516,10076,Ardlethan,1,New South Wales,538.8726,146.85453,-34.34358
148.436838,-35.29424619,10077,Argalong,1,New South Wales,132.3034,148.43684,-35.29425
151.6306444,-32.93504783,10078,Argenton,1,New South Wales,1.5233,151.63064,-32.93505
152.7277388,-30.61020863,10079,Argents Hill,1,New South Wales,76.2545,152.72774,-30.61021
145.6572432,-34.91798946,10080,Argoon (NSW),1,New South Wales,247.1245,145.65724,-34.91799
147.197099,-34.31081196,10081,Ariah Park,1,New South Wales,489.991,147.1971,-34.31081
149.3859649,-33.73577869,10082,Arkell,1,New South Wales,66.8602,149.38596,-33.73578
149.6574748,-34.04052001,10083,Arkstone,1,New South Wales,79.3706,149.65747,-34.04052
148.46345,-31.44798093,10084,Armatree,1,New South Wales,484.98,148.46345,-31.44798
151.6677943,-30.50313191,10085,Armidale,1,New South Wales,274.5995,151.66779,-30.50313
151.1476048,-33.93935179,10086,Arncliffe,1,New South Wales,2.9429,151.1476,-33.93935
